Code,Label
1,Accelerators
2,Advanced Manufacturing
3,Artificial Intelligence
4,Augmented Reality
5,Authentication
6,Authorization
7,Blockchain
8,Carbon Accounting
9,City Solutions
10,Clinical Research/Testing
11,Cloud Services & Platform
12,Cloud Services & Platforms
13,Cloud Services and Platform 
14,Cloud Services and Platforms
15,Cloud Sevices & Platorms
16,Cloud Sevices and Platorms
17,Cloud Storage
18,Cognitive Computing
19,Cognitive Technology
20,Collaboration Spaces
21,Comparables
22,Competitions
23,Competitor Intelligence
24,Computer Vision
25,Corporate Sustainability
26,Corruption & Money Laundering
27,Crisis Management
28,Crowd Management Platforms
29,Crowdfunding
30,Crowdsourcing
31,Customer Analytics
32,Cyber Intelligence
33,Cybersecurity
34,Data Aggregation
35,Data Analytics
36,Data Infrastructure
37,Data Maagement
38,Data Management
39,Data Management 
40,Data Recovery
41,Data Visualization
42,Design Thinking
43,Digital Benchmarking
44,Digital Currency
45,Digital Enterprise
46,Digital Transformation Services
47,Due Diligence
48,E-Discovery
49,Education
50,Energy Efficiency
51,Enterprise Intelligence
52,Environmental Footprint
53,Exchanges
54,Expert Networks
55,"Extract, Transform, Load (ETL)"
56,Financial Analytics
57,Financial Crime
58,Financial Data
59,"Fraud Monitoring, Protection & 
Investigation"
60,"Fraud Monitoring, Protection & Investigation"
61,Freelance Talent/Labor
62,Freelance/Talent Labor
63,Global Delivery
64,Health Information Systems
65,Healthcare Analytics
66,Identify Verification
67,Identity Verification
68,Information Exchange
69,Information Security
70,Internet of Things
71,IT Vulnerability & Threat Assessment
72,IT Vulnerability and Threat Assessment
73,Knowledge Management
74,Legal & Contract Document Review
75,Legal & Regulatory
76,Legal and Regulatory
77,Legal Document Review
78,Machine Learning
79,Maketing Services
80,Managed Crowds
81,Markeiting Analytics
82,Market Intelligence
83,Market Research
84,Marketing Analytics
85,Marketing Services
86,Marketing Sevices
87,Meter Data Management
88,Meter Data Management (MDM)
89,Mobile & Web Development
90,Mobile and Web Development
91,Mobile Health
92,Mobile Security
93,Mobile Security 
94,Natural Language Generation
95,Natural Language Processing
96,Naural Language Processing
97,Networks & Sensors
98,Neuroscience
99,New
100,Optical Character Recognition (OCR)
101,Optimal Character Recognition (OCR)
102,Performance Management
103,Pervasive Computing
104,Predictive Analytics
105,Predictive Modeling
106,Process Automation
107,Project Management
108,Regulation & Compliance
109,Remote Workforce
110,Renewable Energy
111,Risk & Regulatory Analytics
112,Risk and Regulatory Analytics
113,Robotics
114,Robotics 
115,Smart Grid
116,Social Media
117,Software Testing
118,Supply Chain Analytics
119,Sustainability
120,Sustainability Advisory
121,Talent Sustainability
122,Tax Analytics
123,Telematics
124,Text Analytics
125,Training & Development
126,Virtual Collaboration
127,Wearables
128,Workflow Automation
129,Workforce Analytics
130,Workforce of the Future
