Primary Tag,Secondary 1,Secondary 2,Secondary 3,Secondary 4,Secondary 5,Secondary 6,Secondary 7,Secondary 8,Description
Legal & Regulatory,Regulation & Compliance,Performance Management,Risk & Regulatory Analytics,,,,,,"AuditFile provides a secure, cloud-based solution that helps CPA firms perform more efficient audits, reviews, and compilations through intuitive UI and workflow features."
Workforce of the Future,Project Management,Virtual Collaboration,,,,,,,Jetpack Workflow is a client tracking and workflow management tool that helps SMB accounting firms automate and track recurring client work.
Artificial Intelligence,Natural Language Processing,Machine Learning,Text Analytics,Process Automation,,,,,Idibon provides cloud-based natural language processing services for organizations to efficiently organize and structure written language data to automate processes and generate business insights.
Data Analytics,Data Visualization,Enterprise Intelligence,Data Aggregation,"Extract, Transform, Load (ETL)",,,,,Domo provides a SaaS based data visualization platform enabling companies to connect to a wide variety of data sources and business applications to build custom dashboards.
Legal & Regulatory,Regulation & Compliance,Cloud Services and Platforms,Tax Analytics,Enterprise Intelligence,Process Automation,,,,"Avalara provides cloud-based sales tax automation software and a suite of other tax management solutions for businesses. It also partners with software development, marketing, sales, accounting, and consulting vendors who resell Avalara's products as part of their professional services offerings."
Data Management,Cloud Storage,Data Infrastructure,Data Aggregation,Enterprise Intelligence,,,,,Treasure Data is a cloud big data analytics service that stores and processes large volumes of data for organizations and makes it accessible for analysis.
Cybersecurity,Cyber Intelligence,Information Security,Machine Learning,Exchanges,,,,,Threat Stream is a SaaS-based security intelligence platform for managing the threat intelligence life-cycle for enterprises and governments.
Data Analytics,Enterprise Intelligence,Predictive Modeling,Supply Chain Analytics,Telematics,,,,,Riskpulse helps supply chains adapt to extreme weather and climate conditions through its Cygnus platform for optimizing planning and management of weather-sensitive logistics.
Cybersecurity,IT Vulnerability and Threat Assessment,Cyber Intelligence,Information Security,Risk & Regulatory Analytics,,,,,Risk I/O is a SaaS-based vulnerability threat management platform that analyzes enterprise data with external threat intelligence to identify and prioritize IT security risks.
Crowdsourcing,Exchanges,Market Research,,,,,,,G2 Crowd is a crowdsourced platform that allows business users to assess business software vendors through user reviews instead of analyst reports and sales demos.
Crowdsourcing,Expert Networks,Freelance Talent/Labor,Market Research,,,,,,Hourly Nerd is an online marketplace connecting businesses with experienced professionals and MBAs who help solve business problems for an hourly rate.
Crowdsourcing,Market Research,Financial Data,Exchanges,Expert Networks,,,,,"Axial is an online network connecting mid-market companies with business professionals who may advise, acquire, or invest in them."
Market Intelligence,Market Research,Information Exchange,Financial Data,Comparables,Exchanges,,,,"Compstak leverages crowdsourcing to provide an online database of commercial lease comps for investors, brokers, asset managers, appraisers and researchers."
Market Intelligence,Expert Networks,Market Research,Information Exchange,Financial Data,Comparables,,,,"Estimize provides crowdsourced estimates of public company financial performance and economic indicators. Its objective is to surpass biases inherent in Wall Street consensus and provide more accurate estimates through the wisdom of a representative crowd. Crowd contributors include buy-side and sell-side analysts, independent researchers, and students."
Data Analytics,Natural Language Processing,Data Visualization,Predictive Modeling,Customer Analytics,Risk & Regulatory Analytics,Supply Chain Analytics,Financial Analytics,Market Research,"Quid provides a SaaS business analytic platform that combines search, premium data and high performance algorithms to create visualizations of markets, trends, and cultural phenomena."
Digital Enterprise,Performance Management,Regulation & Compliance,Enterprise Intelligence,Cloud Services & Platforms,,,,,"inDinero is an all-in-one accounting, tax and payroll managed service targeting SMBs and growing enterprises. It delivers its services through a combination of on-staff accountants and proprietary accounting software that includes real-time dashboards and mobile updates."
