Description,Tag,Code
"AuditFile provides a secure, cloud-based solution that helps CPA firms perform more efficient audits, reviews, and compilations through intuitive UI and workflow features.",Legal & Regulatory,75
Jetpack Workflow is a client tracking and workflow management tool that helps SMB accounting firms automate and track recurring client work.,Workforce of the Future,130
Idibon provides cloud-based natural language processing services for organizations to efficiently organize and structure written language data to automate processes and generate business insights.,Artificial Intelligence,3
Domo provides a SaaS based data visualization platform enabling companies to connect to a wide variety of data sources and business applications to build custom dashboards.,Data Analytics,35
"Avalara provides cloud-based sales tax automation software and a suite of other tax management solutions for businesses. It also partners with software development, marketing, sales, accounting, and consulting vendors who resell Avalara's products as part of their professional services offerings.",Legal & Regulatory,75
Treasure Data is a cloud big data analytics service that stores and processes large volumes of data for organizations and makes it accessible for analysis.,Data Management,38
Threat Stream is a SaaS-based security intelligence platform for managing the threat intelligence life-cycle for enterprises and governments.,Cybersecurity,33
Riskpulse helps supply chains adapt to extreme weather and climate conditions through its Cygnus platform for optimizing planning and management of weather-sensitive logistics.,Data Analytics,35
Risk I/O is a SaaS-based vulnerability threat management platform that analyzes enterprise data with external threat intelligence to identify and prioritize IT security risks.,Cybersecurity,33
G2 Crowd is a crowdsourced platform that allows business users to assess business software vendors through user reviews instead of analyst reports and sales demos.,Crowdsourcing,30
Hourly Nerd is an online marketplace connecting businesses with experienced professionals and MBAs who help solve business problems for an hourly rate.,Crowdsourcing,30
"Axial is an online network connecting mid-market companies with business professionals who may advise, acquire, or invest in them.",Crowdsourcing,30
"Compstak leverages crowdsourcing to provide an online database of commercial lease comps for investors, brokers, asset managers, appraisers and researchers.",Market Intelligence,82
"Estimize provides crowdsourced estimates of public company financial performance and economic indicators. Its objective is to surpass biases inherent in Wall Street consensus and provide more accurate estimates through the wisdom of a representative crowd. Crowd contributors include buy-side and sell-side analysts, independent researchers, and students.",Market Intelligence,82
"Quid provides a SaaS business analytic platform that combines search, premium data and high performance algorithms to create visualizations of markets, trends, and cultural phenomena.",Data Analytics,35
"inDinero is an all-in-one accounting, tax and payroll managed service targeting SMBs and growing enterprises. It delivers its services through a combination of on-staff accountants and proprietary accounting software that includes real-time dashboards and mobile updates.",Digital Enterprise,45
"Xero provides cloud accounting software targeting small and medium sized businesses and accounting professionals. Features include inventory tracking, cashflow management, payroll automation, purchase order management, and invoicing. It is intended to be an alternative to QuickBooks.",Digital Enterprise,45
"Acumatica provides cloud-based ERP and accounting software targeting small and medium sized businesses. Its suite includes Financial, Distribution, CRM, and Project Accounting applications.",Digital Enterprise,45
"Block Score provides a solution for verifying user identities online. It integrates into enterprise websites and validates users with personalized, knowledge-based questions. It also scans government watch lists and red flag list to identify potentially harmful or fraudulent individuals.",Cybersecurity,33
"Showpad offers a mobile app that provides up-to-date context specific content to increase a sales teamÕs efficiency in every stage: preparation, conversation and follow up. The app distributes marketing materials and gathers feedback from the field. It also allows users to get insights on how content is being used and align creation efforts with sales revenue goals.",Data Management,38
"Unique among robo advisors, Blooom helps investors manage 401(k) retirement accounts.",Data Analytics,35
"More closely aligned to a brokerage firm, Motif enables users to create a basket (called a motif) of stocks and ETFs. Once built, an investor can buy a motif of up to 30 stocks and ETFs for $9.95. Investors can create their own motifs, invest in motifs built by Motif Investing, or invest in motifs built by other investors on the platform.",Data Analytics,35
"Elementum helps enterprises gain better visibility into and reduce risk in their supply chain through big data analytics. It analyzes a variety of internal and external sources in real-time to identify and alert supply chain managers of critical developments. Its suite of apps target 3 distinct areas - supplier management, logistics management, and manufacturing operations. ",Data Analytics,35
"Brainspace provides software to analyze and visualize unstructured enterprise data for investigation, e-discovery, and knowledge management.",Digital Enterprise,45
Cafyne provides enterprise SaaS solutions for optimizing social media activity and managing social media risk. It helps aggregate and analyze data on employee social media participation and also enables enterprises to track external social media activity to generate sales and partnership leads.,Legal & Regulatory,75
"Covalent provides cloud-based risk management software that links strategic planning, risk management, and business performance for enterprises and governments.",Workforce of the Future,130
"Governance, Risk, and Compliance (GRC) software solutions provider for organizations to manage risk efficiently",Legal & Regulatory,75
"Wynyard Group provides threat assessment, risk management, and fraud analytics software and services for government, financial services, and national infrastructure providers.",Financial Crime,57
"Combines technology with regulatory expertise, strategic guidance, and auditing services for banking and finance companies",Legal & Regulatory,75
Omnext is a SaaS-based application quality assessment provider that offers a wide set of on-demand application analysis services.,Digital Enterprise,45
"Siteworx is a digital consultancy focusing on design, web, content management, and systems integration.",Digital Enterprise,45
"Nexient is an application services and technology services provider that leverages a unique ""on-shore"" outsourcing model as an alternative to Indian ""off-shore"" services delivery. It focused on agile software development through ""on-shoring"" and also offers information management and enterprise mobility consulting services.",Digital Enterprise,45
"Panviva provides solutions that contextualize business process guidance to help workers at large organizations navigate complex processes, reduce task handling times, reduce human error, and increase compliance.",Workforce of the Future,130
"Skillbridge provides clients on-demand access to a market of experienced business freelancers. Clients can hire the experienced consultants, experts, and specialists they need for short-term engagements.",Crowdsourcing,30
"MBA & Company is a marketplace connecting organizations with freelance strategy and business development consultants to support a variety of strategic research needs - including competitive positioning, market assessments, and M&A support.",Crowdsourcing,30
"Hedvig is a ""software-defined"" data storage platform for enterprises. It works as a command center for distributing storage evenly across enterprise computing environments, enabling commodity hardware to become more elastic and work efficiently at scale.",Data Management,38
SecurityScorecard is a platform for enterprises to collaboratively monitor and remediate cyber security risks with their partners and vendors. It helps companies ensure private internal and customer data is protected when shared with third parties for business purposes.,Cybersecurity,33
"Offers solutions for commercial fleets and insurers to measure, improve, and sustain safe and fuel-efficient driving",Sustainability,119
Logikcull provides a cloud document management platform targeting auditors and legal teams. It automatically processes and organizes documents in a variety of file formats enabling content to be efficiently searched and analyzed.,Legal & Regulatory,75
Skycure helps enterprises secure mobile devices against internal and external cyber threats and malware through a downloadable mobile app and associated support service. It also leverages a crowd of security researchers to provide ongoing mobile threat intelligence.,Cybersecurity,33
"10EQS connects enterprise clients with a network of global business experts in a structured, online collaboration environment. The network advises on and helps address a variety of business challenges.",Crowdsourcing,30
"Lionbridge is a language services provider that specializes in professional translation and marketing localization. It also offers content management, data structuring, and application testing through a mix of cloud software and crowdsourcing driven by over 100K qualified workers.",Crowdsourcing,30
Workfusion qualifies and manages a crowd of workers from different online talent networks to complete data collection and data quality tasks for enterprises. It supplements the process with automation tools to maximize quality and speed.,Crowdsourcing,30
"Platform for data enrichment that enables a community of data scientists to collect, clean, and label data at scale",Crowdsourcing,30
